,Audio,Visual,AV
0,0.968,0.962,0.988
1,0.982,0.964,0.998
2,0.964,0.972,0.994
3,0.962,0.978,0.996
4,0.982,0.968,0.998
5,0.966,0.972,0.996
6,0.968,0.978,0.99
7,0.964,0.974,0.998
8,0.966,0.972,0.992
9,0.954,0.962,0.992
10,0.966,0.97,0.994
11,0.966,0.96,0.994
12,0.968,0.99,0.998
13,0.958,0.954,0.99
14,0.972,0.972,0.99
15,0.982,0.968,0.998
16,0.968,0.966,0.994
17,0.972,0.962,0.992
18,0.978,0.978,0.996
19,0.978,0.98,0.996
20,0.966,0.978,0.996
21,0.962,0.97,0.994
22,0.97,0.968,1.0
23,0.956,0.982,0.998
24,0.97,0.976,0.996
25,0.974,0.97,0.996
26,0.972,0.976,0.994
27,0.984,0.972,1.0
28,0.964,0.982,0.994
29,0.974,0.978,0.994
30,0.972,0.982,0.998
31,0.968,0.95,0.996
32,0.972,0.962,0.994
33,0.974,0.978,0.998
34,0.96,0.972,0.996
35,0.96,0.968,0.992
36,0.964,0.962,0.986
37,0.976,0.978,0.998
38,0.976,0.958,0.996
39,0.966,0.966,0.994
40,0.966,0.98,0.996
41,0.96,0.974,0.998
42,0.978,0.972,0.996
43,0.99,0.976,0.998
44,0.968,0.954,0.998
45,0.972,0.972,0.994
46,0.97,0.968,0.998
47,0.976,0.964,1.0
48,0.972,0.98,0.998
49,0.956,0.974,0.996
