,Audio,Visual,AV
0,792.8463073851788,794.4049999999493,728.0235528941645
1,591.1510978043519,795.0173999999491,583.4439121756099
2,477.47274549094914,788.3659999999495,474.1147704590492
3,403.0530241935198,785.2319999999497,401.79056224896743
4,343.06578411402774,789.8815999999493,343.4254065040398
5,301.8927536231656,790.9522954091309,302.73958762884314
6,271.8877338877128,784.86746506981,271.8877338877128
7,237.70733752618625,792.4858283432627,238.22008368198917
8,788.3890219560375,592.0527999999607,583.4495009979652
9,588.3884231536535,584.2145708582445,527.9856287424793
10,474.96793587171084,585.428143712536,457.2357285428825
11,400.89574036508304,588.8713999999608,398.0895999999717
12,343.17950310556483,586.3724550897814,342.135887096749
13,310.5979381443066,583.2272545089793,307.99304703474166
14,274.3626304801457,586.6355289420768,274.40331950205336
15,236.87761506274236,593.0305389221163,236.79037656901852
16,790.2251497005483,471.50781563123,470.9015968063548
17,593.5181999999606,474.04516129029,460.87804391214377
18,473.1625754526837,475.3721774193221,417.977445109751
19,408.76874999997113,475.2821643286246,380.9093812374976
20,345.49918032784353,470.049397590329,332.72837022130335
21,307.2150205761086,467.58196392782344,299.68588957052947
22,265.6649895177989,479.71923847692096,263.4824999999793
23,240.74902807773444,473.86259999996736,240.75579399139693
24,784.8299401197102,396.31829268289863,398.9100603621447
25,582.3183632734143,397.9684210526033,388.7274549097919
26,477.84139999996717,403.8713709677133,377.03572854288706
27,395.4559837727913,399.23083164297367,346.93233532931595
28,349.4491803278433,396.90381526101595,319.61903807612845
29,305.97250509162666,403.31480730220267,290.3028112449577
30,270.4684647302694,398.89531568225266,262.7955193482482
31,239.73471933470003,396.63468559834905,237.39671457903628
32,792.7145708582326,342.41014492751106,344.64250513344496
33,596.6019960079445,349.45272727270174,345.170422535186
34,471.8479999999675,355.89287169040176,338.44168336670856
35,406.38864097360204,341.18502024288995,318.0772455089583
36,353.5453987729804,354.981174089043,302.9183632734302
37,311.7296296296062,348.4989816700356,275.4737474949686
38,279.9842323651236,352.1436213991513,259.1734817813561
39,241.3442348008192,343.95818181815656,234.71293634495018
40,797.5716566865757,301.31042944782996,299.85644171776863
41,594.2161676646311,305.159999999977,303.1325819671902
42,481.548490945641,304.49979381441,298.9155555555329
43,401.682413087906,306.5459958932007,290.6022177419133
44,346.427835051521,307.50811359024055,276.57584830337186
45,310.426391752554,305.5744855966847,260.44339999997953
46,270.91652892559875,306.3629856850485,244.20462776658005
47,233.9156576200228,300.71321138209106,221.66573146290756
48,798.3109999999489,270.25383022772223,270.25383022772223
49,588.1820359281046,266.8691836734485,266.33306122446896
50,485.34808853115385,269.2152892561773,266.85460122697305
51,398.645102040788,271.177661795386,261.302040816306
52,356.2126016259903,264.47848360653666,252.29758064514124
53,308.53643892337226,262.7135983263392,239.22132796778757
54,271.42881002085574,267.69358178051743,231.38895582327433
55,236.82478813557407,274.38114754096233,212.86680327867074
56,785.9143712574347,239.40865979379512,239.40865979379512
57,590.3005999999607,238.0795789473492,237.8945263157703
58,474.52979999996734,241.89979123171335,241.47282157674405
59,401.4352112675771,238.09052631577026,238.17084188909783
60,344.45682281056537,233.11464435144546,228.67474541749658
61,312.76044624744105,236.3475103734249,222.12790224030752
62,272.47326530610127,239.08782051280124,215.306530612227
63,242.4179916317797,234.3249471458584,203.69134808851393
